,序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度.1,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度.1,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度.1,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度.1,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
20,21,2020/10/23 21:36:21,414秒,微信,,218.104.96.138(湖北-武汉),75,0.25,60,0.25,802,0.03571428571428571,157,0.25,512,0.25,155,0.25,1,0.25,7非常积极,3,0.25,7非常积极,2,0.25,1非常消极,6,0.25,7非常积极,0,0.25,7非常积极,191,0.21428571428571427,6比较积极,无,抽烟,无,无,230,0.21428571428571427,1非常消极,503,0.21428571428571427,1非常消极,35,0.21428571428571427,1非常消极,3,0.25,7非常积极,146,0.21428571428571427,7非常积极,63,0.21428571428571427,7非常积极,幽默,自大,顾家,无,女性,18,本科,6
21,22,2020/10/25 8:58:25,358秒,手机提交,直接访问,223.73.10.161(广东-汕头),11,0.21428571428571427,271,0.14285714285714285,1484,0.10714285714285714,31,0.25,182,0.25,40,0.25,1,0.21428571428571427,2比较消极,3,0.17857142857142858,4一般,178,0.21428571428571427,1非常消极,425,0.25,4一般,0,0.25,6比较积极,167,0.21428571428571427,7非常积极,照顾老弱,家暴,爱干净,懒惰,107,0.21428571428571427,4一般,34,0.25,4一般,536,0.21428571428571427,2比较消极,576,0.21428571428571427,6比较积极,25,0.17857142857142858,6比较积极,0,0.21428571428571427,7非常积极,高大,丑,温柔,邋遢,女性,21,本科,5
22,23,2020/10/25 10:15:31,787秒,手机提交,直接访问,103.251.99.184(广西-南宁),907,0.21428571428571427,934,0.21428571428571427,1187,0.17857142857142858,658,0.25,992,0.21428571428571427,1000,0.21428571428571427,10,0.14285714285714285,4一般,3,0.17857142857142858,5有些积极,804,0.17857142857142858,5有些积极,609,0.21428571428571427,5有些积极,4,0.21428571428571427,5有些积极,861,0.17857142857142858,4一般,绅士,家暴,共情,冷漠,315,0.25,6比较积极,107,0.25,7非常积极,759,0.17857142857142858,4一般,610,0.21428571428571427,5有些积极,217,0.21428571428571427,6比较积极,39,0.25,6比较积极,有力,不讲卫生,温柔,声太细,男性,22,本科,6
23,24,2020/10/25 13:56:16,307秒,微信,,117.136.81.183(湖北-武汉),1,0.25,272,0.03571428571428571,1556,0.03571428571428571,1583,0.03571428571428571,157,0.25,1507,0.10714285714285714,197,0.21428571428571427,2比较消极,3,0.21428571428571427,1非常消极,1,0.17857142857142858,1非常消极,92,0.25,6比较积极,4,0.21428571428571427,6比较积极,0,0.21428571428571427,7非常积极,负责,抽烟,爱干净,疯狂购物,35,0.25,1非常消极,319,0.25,5有些积极,102,0.14285714285714285,7非常积极,63,0.25,7非常积极,595,0.21428571428571427,7非常积极,4,0.25,3有些消极,幽默,自大,顾家,多愁善感,女性,18,本科,7
24,25,2020/10/26 8:58:11,731秒,微信,,218.199.207.108(湖北-武汉),250,0.21428571428571427,1262,0.17857142857142858,17,0.25,657,0.25,557,0.25,56,0.25,3,0.17857142857142858,4一般,902,0.14285714285714285,5有些积极,973,0.10714285714285714,5有些积极,6,0.17857142857142858,3有些消极,958,0.14285714285714285,4一般,212,0.10714285714285714,5有些积极,绅士,不礼貌，说话很粗鲁,各方面优秀,绿茶,59,0.17857142857142858,6比较积极,127,0.14285714285714285,1非常消极,151,0.14285714285714285,5有些积极,0,0.17857142857142858,4一般,53,0.17857142857142858,5有些积极,847,0.17857142857142858,6比较积极,大度,猥琐,懂事,歇斯底里,女性,21,本科,5
25,26,2020/10/26 9:14:21,493秒,微信,,223.104.20.221(湖北-武汉),3,0.21428571428571427,1410,0.14285714285714285,1233,0.17857142857142858,215,0.17857142857142858,117,0.14285714285714285,1450,0.14285714285714285,1,0.21428571428571427,1非常消极,3,0.21428571428571427,3有些消极,5,0.14285714285714285,5有些积极,0,0.21428571428571427,6比较积极,4,0.17857142857142858,4一般,201,0.17857142857142858,4一般,打篮球,抽烟,化妆,白莲花,7,0.17857142857142858,3有些消极,2,0.14285714285714285,5有些积极,36,0.17857142857142858,5有些积极,10,0.17857142857142858,4一般,0,0.17857142857142858,5有些积极,6,0.14285714285714285,5有些积极,有担当,大男子主义,温柔,敏感,女性,22,硕士研究生及以上,3
26,27,2020/10/26 9:20:10,923秒,微信,,42.80.168.14(天津-天津),466,0.25,824,0.21428571428571427,1231,0.17857142857142858,1293,0.17857142857142858,1089,0.21428571428571427,1298,0.17857142857142858,244,0.25,4一般,144,0.21428571428571427,7非常积极,478,0.21428571428571427,3有些消极,377,0.25,6比较积极,354,0.25,1非常消极,611,0.21428571428571427,2比较消极,行动力强,直男思维 理性思考,感受力强,求认可,21,0.21428571428571427,7非常积极,132,0.17857142857142858,3有些消极,432,0.21428571428571427,3有些消极,53,0.21428571428571427,3有些消极,603,0.21428571428571427,3有些消极,812,0.17857142857142858,6比较积极,独立,自大,同理心强,多虑,女性,22,本科,7
27,28,2020/10/26 9:25:02,562秒,手机提交,直接访问,218.199.207.27(湖北-武汉),0,0.25,312,0.25,92,0.21428571428571427,1079,0.21428571428571427,46,0.25,1165,0.21428571428571427,2,0.21428571428571427,3有些消极,5,0.21428571428571427,6比较积极,174,0.17857142857142858,4一般,642,0.21428571428571427,4一般,4,0.25,5有些积极,90,0.25,6比较积极,帮女生干体力活,没有担当，,把自己打扮的漂漂亮亮的,打扮太拖拉,428,0.21428571428571427,5有些积极,433,0.21428571428571427,6比较积极,533,0.21428571428571427,3有些消极,556,0.21428571428571427,5有些积极,19,0.17857142857142858,3有些消极,570,0.21428571428571427,3有些消极,处事果断,优柔寡断,细心,多疑,女性,21,硕士研究生及以上,4
28,29,2020/10/26 9:47:15,240秒,微信,,117.136.54.131(天津-天津),411,0.25,2,0.25,1216,0.17857142857142858,771,0.25,1339,0.17857142857142858,769,0.25,39,0.17857142857142858,7非常积极,3,0.17857142857142858,4一般,1,0.25,2比较消极,3,0.10714285714285714,3有些消极,1,0.17857142857142858,1非常消极,39,0.17857142857142858,5有些积极,奉献,抽烟,奉献,抽烟,229,0.25,7非常积极,171,0.25,7非常积极,2,0.25,7非常积极,0,0.25,7非常积极,6,0.25,7非常积极,14,0.17857142857142858,5有些积极,勇敢,懒惰,善良,无理取闹,男性,24,硕士研究生及以上,5
29,30,2020/10/26 9:49:48,427秒,手机提交,直接访问,218.199.207.32(湖北-武汉),129,0.25,351,0.25,342,0.25,651,0.25,652,0.25,496,0.25,508,0.21428571428571427,6比较积极,17,0.25,7非常积极,1,0.21428571428571427,6比较积极,0,0.25,7非常积极,52,0.25,7非常积极,6,0.21428571428571427,6比较积极,乐于助人,吸烟,购物,无,43,0.21428571428571427,7非常积极,199,0.21428571428571427,7非常积极,156,0.17857142857142858,2比较消极,589,0.21428571428571427,7非常积极,647,0.21428571428571427,2比较消极,279,0.17857142857142858,2比较消极,担当,拖沓,开朗,攀比,女性,21,本科,5
