,序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度.1,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度.1,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度.1,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度.1,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
204,205,2020/10/30 16:48:48,450秒,手机提交,直接访问,218.197.142.6(湖北-武汉),91,0.25,13,0.25,51,0.25,692,0.25,548,0.25,674,0.25,314,0.25,6比较积极,69,0.25,5有些积极,507,0.21428571428571427,6比较积极,13,0.25,6比较积极,0,0.25,7非常积极,673,0.21428571428571427,1非常消极,击剑,无,化妆,来拒去留,22,0.25,7非常积极,342,0.25,7非常积极,354,0.25,7非常积极,119,0.25,7非常积极,406,0.25,7非常积极,390,0.25,7非常积极,搞抽象艺术,无,外娇里硬,公主心理,男性,18,本科,1
205,206,2020/10/30 16:48:57,575秒,手机提交,直接访问,223.104.20.112(湖北-武汉),0,0.21428571428571427,1485,0.10714285714285714,34,0.21428571428571427,8,0.14285714285714285,114,0.21428571428571427,1434,0.14285714285714285,5,0.21428571428571427,1非常消极,2,0.25,4一般,71,0.21428571428571427,6比较积极,165,0.21428571428571427,6比较积极,92,0.25,2比较消极,0,0.25,4一般,有风度,纹身,温柔,抽烟,30,0.21428571428571427,6比较积极,9,0.21428571428571427,7非常积极,50,0.25,7非常积极,17,0.25,7非常积极,4,0.25,3有些消极,24,0.17857142857142858,6比较积极,大度,小气,温柔,水性杨花,男性,18,本科,5
206,207,2020/10/30 16:49:01,557秒,手机提交,直接访问,218.197.142.8(湖北-武汉),936,0.21428571428571427,968,0.21428571428571427,1489,0.10714285714285714,528,0.25,533,0.25,527,0.25,247,0.25,2比较消极,545,0.21428571428571427,1非常消极,800,0.17857142857142858,6比较积极,109,0.25,5有些积极,662,0.21428571428571427,7非常积极,19,0.25,4一般,帮女生整理头发,抽烟喝酒,撅嘴,自拍,68,0.21428571428571427,7非常积极,457,0.21428571428571427,7非常积极,1000,0.10714285714285714,7非常积极,804,0.17857142857142858,5有些积极,642,0.21428571428571427,4一般,6,0.25,7非常积极,对女朋友特别好,自私自利,善良,过于大方，变成爷们,男性,18,本科,5
207,208,2020/10/30 16:49:08,470秒,手机提交,直接访问,218.197.142.13(湖北-武汉),0,0.25,125,0.25,376,0.25,730,0.25,149,0.25,567,0.25,8,0.25,3有些消极,2,0.17857142857142858,5有些积极,30,0.17857142857142858,7非常积极,0,0.17857142857142858,5有些积极,6,0.17857142857142858,5有些积极,184,0.17857142857142858,5有些积极,打游戏,说脏话,说话有礼貌,故意嗲着说话,26,0.17857142857142858,5有些积极,705,0.17857142857142858,5有些积极,88,0.17857142857142858,5有些积极,0,0.17857142857142858,5有些积极,811,0.17857142857142858,5有些积极,787,0.17857142857142858,5有些积极,有责任心,邋遢,温柔,自以为是,女性,18岁,本科,6
208,209,2020/10/30 16:49:08,587秒,手机提交,直接访问,117.136.81.139(湖北-武汉),294,0.25,474,0.25,373,0.25,635,0.25,752,0.25,576,0.25,293,0.25,7非常积极,312,0.25,7非常积极,259,0.25,7非常积极,411,0.25,7非常积极,395,0.25,7非常积极,358,0.25,7非常积极,JOJO立,反向JOJO立,JOJO立,JOJO立,310,0.25,7非常积极,298,0.25,7非常积极,317,0.25,7非常积极,384,0.25,7非常积极,402,0.25,7非常积极,386,0.25,7非常积极,线条干练,线条杂乱,曲线优美,直上直下,男性,17,本科,5
209,210,2020/10/30 16:49:15,570秒,手机提交,直接访问,218.197.142.12(湖北-武汉),0,0.25,12,0.25,425,0.25,604,0.25,211,0.25,1135,0.21428571428571427,786,0.17857142857142858,7非常积极,138,0.25,7非常积极,13,0.17857142857142858,6比较积极,25,0.25,5有些积极,435,0.25,5有些积极,848,0.17857142857142858,5有些积极,雷厉风行,磨磨唧唧,坐姿优雅,毒舌,246,0.17857142857142858,5有些积极,57,0.17857142857142858,5有些积极,32,0.25,5有些积极,573,0.21428571428571427,6比较积极,398,0.25,1非常消极,836,0.17857142857142858,1非常消极,顽皮,墨迹,知性,随性,男性,17,本科,6
210,211,2020/10/30 16:49:16,595秒,手机提交,直接访问,223.104.20.48(湖北-武汉),1210,0.17857142857142858,1496,0.10714285714285714,845,0.21428571428571427,1042,0.21428571428571427,1285,0.17857142857142858,788,0.25,506,0.21428571428571427,3有些消极,494,0.21428571428571427,2比较消极,223,0.25,4一般,0,0.25,6比较积极,7,0.17857142857142858,4一般,27,0.10714285714285714,2比较消极,注意个人卫生,不注意卫生,单纯,绿茶,73,0.17857142857142858,1非常消极,31,0.14285714285714285,3有些消极,47,0.17857142857142858,2比较消极,185,0.17857142857142858,3有些消极,40,0.14285714285714285,3有些消极,5,0.17857142857142858,7非常积极,专一,渣男,可爱,绿茶,男性,16,本科,4
211,212,2020/10/30 16:49:34,600秒,手机提交,直接访问,218.197.142.6(湖北-武汉),135,0.25,1488,0.10714285714285714,3,0.25,120,0.21428571428571427,113,0.21428571428571427,1137,0.21428571428571427,175,0.17857142857142858,2比较消极,94,0.17857142857142858,3有些消极,30,0.17857142857142858,6比较积极,11,0.17857142857142858,4一般,0,0.25,6比较积极,621,0.21428571428571427,3有些消极,健身,光膀子,化妆,绿茶,18,0.14285714285714285,6比较积极,682,0.17857142857142858,4一般,58,0.14285714285714285,2比较消极,65,0.21428571428571427,6比较积极,974,0.14285714285714285,6比较积极,78,0.14285714285714285,2比较消极,帅,暴躁,美,矫情,男性,19,本科,7
212,213,2020/10/30 16:49:35,615秒,手机提交,直接访问,171.82.161.38(湖北-武汉),486,0.25,175,0.21428571428571427,925,0.21428571428571427,82,0.25,62,0.21428571428571427,8,0.17857142857142858,1,0.21428571428571427,3有些消极,153,0.21428571428571427,4一般,12,0.21428571428571427,7非常积极,0,0.25,1非常消极,31,0.21428571428571427,1非常消极,647,0.21428571428571427,4一般,打球,脚踏两只船,爱和男生聊天,化浓妆,502,0.21428571428571427,3有些消极,55,0.21428571428571427,5有些积极,733,0.17857142857142858,4一般,94,0.21428571428571427,6比较积极,632,0.21428571428571427,3有些消极,554,0.21428571428571427,6比较积极,短发,胡渣,穿着华丽,不注重外表,男性,18,本科,0
213,214,2020/10/30 16:49:42,597秒,手机提交,直接访问,218.197.142.13(湖北-武汉),323,0.25,4,0.25,282,0.25,740,0.25,666,0.25,607,0.25,295,0.25,4一般,294,0.25,4一般,207,0.25,4一般,0,0.25,6比较积极,25,0.25,6比较积极,80,0.25,6比较积极,打篮球,打架,化妆,吸烟,2,0.25,7非常积极,116,0.25,6比较积极,9,0.25,7非常积极,0,0.25,7非常积极,60,0.25,6比较积极,24,0.25,4一般,勇敢,懦弱,温柔,泼辣,男性,19,本科,6
214,215,2020/10/30 16:49:44,420秒,手机提交,直接访问,218.197.142.14(湖北-武汉),1412,0.14285714285714285,1398,0.14285714285714285,205,0.14285714285714285,14,0.03571428571428571,70,0.03571428571428571,799,0.03571428571428571,2,0.25,7非常积极,76,0.25,6比较积极,57,0.25,5有些积极,13,0.17857142857142858,7非常积极,11,0.17857142857142858,5有些积极,209,0.14285714285714285,2比较消极,有礼貌,不爱卫生,善解人意,无理取闹,703,0.17857142857142858,5有些积极,704,0.17857142857142858,5有些积极,7,0.17857142857142858,3有些消极,0,0.17857142857142858,7非常积极,204,0.17857142857142858,2比较消极,802,0.17857142857142858,3有些消极,有礼貌,没礼貌,温柔,粗鲁,男性,20,本科,1
215,216,2020/10/30 16:49:49,586秒,手机提交,直接访问,218.197.142.4(湖北-武汉),428,0.25,7,0.14285714285714285,8,0.17857142857142858,216,0.17857142857142858,149,0.25,29,0.25,273,0.25,5有些积极,302,0.25,5有些积极,216,0.25,4一般,161,0.17857142857142858,5有些积极,9,0.14285714285714285,4一般,31,0.14285714285714285,4一般,一起上号,渣男,卖萌,茶里茶气,24,0.21428571428571427,6比较积极,73,0.14285714285714285,3有些消极,751,0.17857142857142858,4一般,206,0.17857142857142858,5有些积极,3,0.25,7非常积极,389,0.25,7非常积极,活泼乐观,小气，易怒,可爱，好看,拜金，虚伪,男性,19,本科,6
216,217,2020/10/30 16:49:57,584秒,手机提交,直接访问,218.197.142.18(湖北-武汉),475,0.25,433,0.25,1407,0.14285714285714285,14,0.21428571428571427,258,0.14285714285714285,1551,0.07142857142857142,515,0.21428571428571427,5有些积极,121,0.25,1非常消极,785,0.17857142857142858,4一般,437,0.25,3有些消极,42,0.21428571428571427,4一般,0,0.21428571428571427,6比较积极,组队打球,组队打王者荣耀,撒娇卖萌,无理取闹,492,0.21428571428571427,7非常积极,488,0.21428571428571427,5有些积极,740,0.17857142857142858,4一般,571,0.21428571428571427,4一般,0,0.17857142857142858,6比较积极,845,0.17857142857142858,4一般,踏实,朴实,温柔,脾气大,男性,19,本科,5
217,218,2020/10/30 16:49:58,483秒,手机提交,直接访问,223.104.20.12(湖北-武汉),95,0.25,815,0.21428571428571427,302,0.25,267,0.14285714285714285,262,0.21428571428571427,705,0.25,291,0.25,7非常积极,5,0.25,7非常积极,317,0.25,4一般,387,0.25,4一般,0,0.25,6比较积极,7,0.25,4一般,学习,窥屏,兴趣广泛,撒娇,347,0.25,7非常积极,519,0.21428571428571427,7非常积极,12,0.21428571428571427,7非常积极,3,0.25,6比较积极,988,0.14285714285714285,3有些消极,665,0.21428571428571427,4一般,帅,不洗衣服,漂亮,阴毒,男性,19,本科,3
218,219,2020/10/30 16:50:00,579秒,手机提交,直接访问,218.197.142.7(湖北-武汉),0,0.25,2,0.21428571428571427,7,0.25,981,0.21428571428571427,16,0.25,1177,0.21428571428571427,2,0.25,7非常积极,44,0.25,3有些消极,278,0.25,6比较积极,11,0.25,6比较积极,595,0.21428571428571427,5有些积极,605,0.21428571428571427,4一般,打游戏,吹牛,追星,追星,119,0.25,3有些消极,32,0.17857142857142858,6比较积极,36,0.21428571428571427,6比较积极,10,0.25,6比较积极,263,0.21428571428571427,7非常积极,41,0.21428571428571427,6比较积极,理性,闷骚,外柔内刚,感性,男性,18,本科,3
219,220,2020/10/30 16:50:13,563秒,手机提交,直接访问,183.95.248.190(湖北-武汉),0,0.25,134,0.25,51,0.25,45,0.25,1523,0.10714285714285714,795,0.25,151,0.14285714285714285,1非常消极,286,0.25,7非常积极,69,0.17857142857142858,1非常消极,962,0.14285714285714285,6比较积极,107,0.14285714285714285,4一般,7,0.14285714285714285,4一般,罚球线扣篮,野球场造规,爱干净,找备胎,126,0.14285714285714285,4一般,12,0.14285714285714285,4一般,8,0.07142857142857142,4一般,52,0.14285714285714285,4一般,185,0.03571428571428571,1非常消极,1058,0.03571428571428571,1非常消极,理智,自大,理智,、,男性,18,本科,6
220,221,2020/10/30 16:50:16,655秒,手机提交,直接访问,218.197.142.16(湖北-武汉),0,0.21428571428571427,1377,0.14285714285714285,1396,0.14285714285714285,1106,0.21428571428571427,1121,0.21428571428571427,71,0.21428571428571427,491,0.21428571428571427,7非常积极,476,0.21428571428571427,6比较积极,53,0.21428571428571427,6比较积极,61,0.21428571428571427,7非常积极,13,0.25,7非常积极,21,0.25,7非常积极,投篮动作,耍帅,撩头发,翘腿,343,0.25,7非常积极,98,0.17857142857142858,3有些消极,129,0.21428571428571427,7非常积极,3,0.25,7非常积极,4,0.25,3有些消极,392,0.25,3有些消极,冷静,莫名自信,乐观,敏感,女性,17,本科,6
221,222,2020/10/30 16:50:22,663秒,手机提交,直接访问,119.103.27.231(湖北-武汉),3,0.21428571428571427,827,0.21428571428571427,1239,0.17857142857142858,187,0.21428571428571427,1131,0.21428571428571427,1467,0.14285714285714285,336,0.25,3有些消极,2,0.21428571428571427,4一般,558,0.21428571428571427,4一般,670,0.21428571428571427,5有些积极,698,0.21428571428571427,4一般,882,0.17857142857142858,6比较积极,勇于担当,满身汗味,细心,斤斤计较,739,0.17857142857142858,2比较消极,1003,0.10714285714285714,1非常消极,425,0.21428571428571427,7非常积极,48,0.17857142857142858,2比较消极,33,0.17857142857142858,6比较积极,207,0.21428571428571427,6比较积极,勇于担当,满身汗味,心思细腻,斤斤计较,女性,18,本科,5
222,223,2020/10/30 16:50:23,598秒,手机提交,直接访问,218.197.142.8(湖北-武汉),100,0.25,0,0.25,406,0.25,151,0.25,493,0.25,801,0.25,14,0.25,7非常积极,767,0.17857142857142858,4一般,512,0.21428571428571427,5有些积极,593,0.21428571428571427,3有些消极,4,0.25,4一般,6,0.25,4一般,上进积极阳光善良,欺软怕硬,温柔体贴有爱心,尖酸刻薄嫉妒心机重,2,0.17857142857142858,5有些积极,329,0.25,1非常消极,66,0.10714285714285714,1非常消极,66,0.14285714285714285,1非常消极,3,0.25,6比较积极,84,0.14285714285714285,3有些消极,积极勇敢理智,欺软怕硬,善良,意气用事,男性,18,本科,5
223,224,2020/10/30 16:50:25,612秒,手机提交,直接访问,218.197.142.16(湖北-武汉),317,0.25,30,0.21428571428571427,14,0.21428571428571427,1309,0.17857142857142858,1275,0.17857142857142858,690,0.25,99,0.17857142857142858,7非常积极,563,0.21428571428571427,4一般,76,0.25,6比较积极,79,0.25,4一般,61,0.25,7非常积极,18,0.25,1非常消极,开朗,高冷,撒娇,不撒娇,125,0.21428571428571427,6比较积极,878,0.14285714285714285,1非常消极,152,0.14285714285714285,3有些消极,781,0.17857142857142858,3有些消极,0,0.17857142857142858,5有些积极,167,0.14285714285714285,5有些积极,帅,矮,高个,太矮,男性,20,本科,6
224,225,2020/10/30 16:50:33,580秒,手机提交,直接访问,223.104.20.108(湖北-武汉),234,0.21428571428571427,1387,0.14285714285714285,229,0.14285714285714285,262,0.14285714285714285,1294,0.17857142857142858,1435,0.14285714285714285,53,0.14285714285714285,4一般,17,0.17857142857142858,3有些消极,55,0.17857142857142858,6比较积极,826,0.17857142857142858,5有些积极,0,0.14285714285714285,4一般,21,0.14285714285714285,4一般,跑步,玩游戏,整理衣服,化妆,1006,0.10714285714285714,7非常积极,1009,0.10714285714285714,6比较积极,268,0.14285714285714285,2比较消极,943,0.14285714285714285,3有些消极,976,0.14285714285714285,2比较消极,561,0.21428571428571427,3有些消极,责任心,花心,爱吃零食,聊天,女性,18,本科,6
225,226,2020/10/30 16:50:42,675秒,手机提交,直接访问,119.103.0.115(湖北-武汉),0,0.25,134,0.25,288,0.25,772,0.25,1077,0.21428571428571427,1105,0.21428571428571427,143,0.21428571428571427,1非常消极,53,0.17857142857142858,4一般,913,0.14285714285714285,4一般,9,0.17857142857142858,5有些积极,0,0.21428571428571427,6比较积极,13,0.21428571428571427,6比较积极,运动,耍帅,化妆,喷香水,18,0.21428571428571427,6比较积极,27,0.14285714285714285,6比较积极,99,0.21428571428571427,6比较积极,94,0.21428571428571427,6比较积极,419,0.14285714285714285,4一般,237,0.14285714285714285,4一般,帅,矮,美,无理取闹,男性,18,本科,10
226,227,2020/10/30 16:50:51,548秒,手机提交,直接访问,223.104.20.231(湖北-武汉),0,0.25,23,0.21428571428571427,897,0.21428571428571427,8,0.17857142857142858,1169,0.21428571428571427,1454,0.14285714285714285,2,0.21428571428571427,4一般,3,0.21428571428571427,4一般,35,0.17857142857142858,2比较消极,6,0.25,7非常积极,0,0.25,5有些积极,42,0.21428571428571427,4一般,见义勇为,装逼,轻声细语,撒泼,2,0.21428571428571427,7非常积极,16,0.17857142857142858,3有些消极,101,0.21428571428571427,6比较积极,1,0.21428571428571427,6比较积极,0,0.17857142857142858,6比较积极,23,0.14285714285714285,6比较积极,勇敢,胆小,温柔,绿茶,男性,18,本科,3
227,228,2020/10/30 16:51:21,721秒,手机提交,直接访问,223.104.20.224(湖北-武汉),0,0.25,878,0.21428571428571427,2,0.21428571428571427,30,0.25,1162,0.21428571428571427,1154,0.21428571428571427,518,0.21428571428571427,6比较积极,221,0.25,7非常积极,326,0.25,7非常积极,365,0.25,7非常积极,0,0.25,4一般,6,0.25,4一般,微笑,脏乱,微笑撩发,脏乱,124,0.25,7非常积极,271,0.17857142857142858,4一般,350,0.25,7非常积极,653,0.21428571428571427,7非常积极,600,0.21428571428571427,6比较积极,418,0.25,2比较消极,大度,斤斤计较,温文尔雅,蛮不讲理,男性,18,本科,2
228,229,2020/10/30 16:51:30,710秒,手机提交,直接访问,218.197.142.7(湖北-武汉),0,0.21428571428571427,100,0.17857142857142858,7,0.25,98,0.17857142857142858,1168,0.21428571428571427,1444,0.14285714285714285,145,0.21428571428571427,7非常积极,305,0.25,1非常消极,198,0.21428571428571427,2比较消极,48,0.25,3有些消极,9,0.17857142857142858,5有些积极,131,0.21428571428571427,5有些积极,露肌肉,大吵大闹,文静,偷东西,671,0.17857142857142858,4一般,89,0.10714285714285714,5有些积极,6,0.17857142857142858,5有些积极,0,0.03571428571428571,7非常积极,807,0.17857142857142858,5有些积极,283,0.17857142857142858,5有些积极,能干,文弱,文静,臭美,男性,17,高中/中专/技校,5
229,230,2020/10/30 16:51:35,735秒,手机提交,直接访问,223.104.20.195(湖北-武汉),6,0.21428571428571427,1,0.25,1538,0.03571428571428571,685,0.25,8,0.03571428571428571,1538,0.03571428571428571,220,0.25,4一般,14,0.21428571428571427,7非常积极,125,0.25,4一般,4,0.25,1非常消极,0,0.25,6比较积极,63,0.21428571428571427,4一般,打球,装逼,自拍,装傻,72,0.21428571428571427,2比较消极,273,0.14285714285714285,2比较消极,32,0.21428571428571427,7非常积极,198,0.21428571428571427,2比较消极,0,0.21428571428571427,7非常积极,979,0.14285714285714285,1非常消极,乐观,懦弱,善解人意,只顾自己,男性,19,本科,7
230,231,2020/10/30 16:51:44,701秒,手机提交,直接访问,223.104.20.83(湖北-武汉),0,0.17857142857142858,339,0.25,202,0.21428571428571427,715,0.25,63,0.25,8,0.25,569,0.21428571428571427,7非常积极,2,0.25,5有些积极,152,0.25,7非常积极,398,0.25,4一般,106,0.17857142857142858,7非常积极,29,0.25,7非常积极,弹钢琴,渣,读书,说脏话,332,0.25,7非常积极,327,0.25,7非常积极,348,0.25,7非常积极,0,0.25,7非常积极,1,0.25,7非常积极,385,0.25,3有些消极,阳光,钻牛角尖,细心,粗心,男性,19,本科,8
231,232,2020/10/30 16:51:44,739秒,手机提交,直接访问,218.197.142.6(湖北-武汉),131,0.25,0,0.25,1499,0.10714285714285714,8,0.10714285714285714,773,0.25,1142,0.21428571428571427,213,0.25,7非常积极,274,0.25,7非常积极,22,0.25,7非常积极,79,0.25,7非常积极,4,0.25,7非常积极,0,0.17857142857142858,6比较积极,请客,让我请客,请客,让我请客,222,0.17857142857142858,6比较积极,87,0.21428571428571427,5有些积极,95,0.14285714285714285,4一般,33,0.14285714285714285,4一般,52,0.14285714285714285,3有些消极,0,0.03571428571428571,1非常消极,请客,不请客,温柔,无理取闹,男性,17,本科,4
232,233,2020/10/30 16:51:45,659秒,手机提交,直接访问,218.197.142.20(湖北-武汉),1,0.25,404,0.25,163,0.25,699,0.25,56,0.25,602,0.25,5,0.21428571428571427,7非常积极,1,0.21428571428571427,1非常消极,2,0.21428571428571427,4一般,0,0.21428571428571427,5有些积极,29,0.21428571428571427,5有些积极,943,0.14285714285714285,4一般,打篮球,暴力,做事温柔,公主病,106,0.14285714285714285,4一般,49,0.17857142857142858,5有些积极,8,0.10714285714285714,7非常积极,4,0.14285714285714285,3有些消极,1,0.17857142857142858,5有些积极,82,0.07142857142857142,4一般,开朗大方,自负,温柔细心,不讲道理多疑,女性,17,本科,5
233,234,2020/10/30 16:51:46,434秒,手机提交,直接访问,117.136.52.225(湖北-武汉),35,0.03571428571428571,313,0.25,452,0.25,1087,0.21428571428571427,158,0.25,712,0.25,16,0.25,3有些消极,128,0.25,4一般,2,0.25,4一般,0,0.25,1非常消极,4,0.25,1非常消极,406,0.25,1非常消极,甩头发,抠脚,化妆,逛街,18,0.14285714285714285,7非常积极,114,0.25,7非常积极,522,0.21428571428571427,7非常积极,593,0.21428571428571427,7非常积极,380,0.25,4一般,412,0.25,1非常消极,陪女朋友,爱打游戏,陪男朋友,化妆,男性,18,本科,6
234,235,2020/10/30 16:51:49,520秒,手机提交,直接访问,117.136.81.145(湖北-武汉),1261,0.17857142857142858,94,0.17857142857142858,1248,0.17857142857142858,489,0.25,1330,0.17857142857142858,630,0.25,37,0.25,1非常消极,16,0.25,1非常消极,285,0.25,1非常消极,382,0.25,7非常积极,0,0.25,4一般,434,0.25,1非常消极,乐于助人,嫖娼赌博,安静,过于开放,748,0.17857142857142858,7非常积极,96,0.25,7非常积极,2,0.25,7非常积极,5,0.25,7非常积极,25,0.25,7非常积极,1,0.25,7非常积极,正义,要强,细心,臭美,男性,18,本科,8
235,236,2020/10/30 16:51:52,711秒,手机提交,直接访问,171.82.112.123(湖北-武汉),0,0.25,284,0.25,421,0.25,111,0.25,796,0.25,775,0.25,16,0.25,4一般,1,0.21428571428571427,4一般,328,0.25,7非常积极,431,0.25,7非常积极,13,0.25,4一般,386,0.25,1非常消极,单手开法拉利,单手开法拉利,微笑,哈哈大笑,81,0.25,1非常消极,106,0.25,2比较消极,22,0.25,1非常消极,60,0.25,4一般,1021,0.10714285714285714,1非常消极,393,0.25,7非常积极,高富帅,斤斤计较,好看,斤斤计较,男性,18,本科,3
236,237,2020/10/30 16:51:54,659秒,手机提交,直接访问,218.197.142.9(湖北-武汉),329,0.25,381,0.25,403,0.25,56,0.25,20,0.25,102,0.17857142857142858,335,0.25,2比较消极,76,0.25,6比较积极,69,0.25,7非常积极,11,0.25,2比较消极,92,0.17857142857142858,4一般,18,0.25,3有些消极,击剑,撩妹,爱整洁,nc追星,133,0.21428571428571427,6比较积极,8,0.21428571428571427,5有些积极,108,0.25,1非常消极,10,0.17857142857142858,4一般,134,0.21428571428571427,7非常积极,129,0.21428571428571427,6比较积极,倔强,傲慢,细致,啰嗦,男性,19,本科,5
237,238,2020/10/30 16:51:58,729秒,手机提交,直接访问,119.103.190.73(湖北-武汉),30,0.25,1565,0.03571428571428571,1568,0.03571428571428571,1183,0.21428571428571427,1516,0.10714285714285714,618,0.25,268,0.25,7非常积极,553,0.21428571428571427,7非常积极,573,0.21428571428571427,7非常积极,4,0.25,7非常积极,689,0.21428571428571427,4一般,631,0.21428571428571427,7非常积极,会自动带耳机,公共地方抖腿,安安静静,逛街,8,0.21428571428571427,7非常积极,76,0.25,6比较积极,676,0.17857142857142858,4一般,1042,0.07142857142857142,7非常积极,1039,0.07142857142857142,7非常积极,769,0.17857142857142858,4一般,沙雕,自以为是,温温柔柔,口出狂言,男性,18,本科,2
238,239,2020/10/30 16:51:58,758秒,手机提交,直接访问,117.136.52.229(湖北-武汉),10,0.25,843,0.21428571428571427,344,0.25,1126,0.21428571428571427,745,0.25,1076,0.21428571428571427,342,0.25,4一般,175,0.21428571428571427,1非常消极,172,0.17857142857142858,2比较消极,119,0.25,5有些积极,25,0.17857142857142858,5有些积极,641,0.21428571428571427,1非常消极,关心身边的人,抽烟,善解人意,装绿茶,22,0.21428571428571427,3有些消极,693,0.17857142857142858,2比较消极,274,0.21428571428571427,2比较消极,824,0.17857142857142858,3有些消极,795,0.17857142857142858,3有些消极,546,0.21428571428571427,4一般,心地纯洁,闷骚,耍小脾气,无理取闹,男性,18,本科,5
239,240,2020/10/30 16:51:59,711秒,手机提交,直接访问,218.197.142.14(湖北-武汉),201,0.21428571428571427,0,0.25,309,0.25,639,0.25,999,0.21428571428571427,31,0.25,2,0.14285714285714285,4一般,561,0.21428571428571427,7非常积极,455,0.21428571428571427,7非常积极,13,0.17857142857142858,7非常积极,0,0.21428571428571427,7非常积极,4,0.25,7非常积极,嘘寒问暖,过于颓废,自立自强,脚踏两只船,95,0.25,5有些积极,139,0.14285714285714285,7非常积极,725,0.17857142857142858,2比较消极,841,0.17857142857142858,4一般,160,0.14285714285714285,4一般,0,0.17857142857142858,7非常积极,积极体贴,颓废,体贴,颓废，女拳,男性,19,本科,1
240,241,2020/10/30 16:51:59,709秒,手机提交,直接访问,119.103.164.26(湖北-武汉),100,0.21428571428571427,204,0.21428571428571427,290,0.25,1296,0.17857142857142858,697,0.25,1314,0.17857142857142858,249,0.25,2比较消极,46,0.25,2比较消极,527,0.21428571428571427,2比较消极,445,0.25,7非常积极,664,0.21428571428571427,4一般,43,0.25,6比较积极,文明有理  表里如一,出口成脏 表里不一,温柔 善解人意,胡搅蛮缠,54,0.25,1非常消极,754,0.17857142857142858,7非常积极,720,0.17857142857142858,6比较积极,0,0.21428571428571427,6比较积极,33,0.21428571428571427,5有些积极,613,0.21428571428571427,3有些消极,开朗 心胸开阔,心胸狭隘,温柔 善解人意,暴脾气,男性,18,本科,3
241,242,2020/10/30 16:51:59,708秒,手机提交,直接访问,218.197.142.16(湖北-武汉),389,0.25,1493,0.10714285714285714,483,0.25,599,0.25,1447,0.14285714285714285,975,0.21428571428571427,1,0.17857142857142858,2比较消极,171,0.21428571428571427,1非常消极,5,0.25,6比较积极,0,0.25,1非常消极,129,0.25,1非常消极,6,0.10714285714285714,4一般,从不放弃,脚踏两条船,展现真实的自我，不化妆不开美颜,绿茶,95,0.25,4一般,13,0.21428571428571427,4一般,85,0.17857142857142858,4一般,15,0.10714285714285714,4一般,19,0.07142857142857142,3有些消极,1057,0.03571428571428571,1非常消极,大方,犯贱,热心,粗犷,男性,18,本科,2
