序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
204,2020/10/30 16:48:48,472秒,手机提交,直接访问,223.104.20.41(湖北-武汉),张三,1非常不典型,李四,1非常不典型,王五,1非常不典型,王美,1非常不典型,杨漂亮,1非常不典型,王心,1非常不典型,运动,1非常不典型,1非常消极,打游戏,1非常不典型,5有些积极,活跃,1非常不典型,5有些积极,购物,6比较典型,5有些积极,撒娇,6比较典型,6比较积极,聊天,6比较典型,6比较积极,运动,打游戏,撒娇,购物,乐观,6比较典型,4一般,刚毅,4一般,4一般,英勇,4一般,4一般,温柔,6比较典型,6比较积极,敏感,4一般,4一般,观色,4一般,4一般,阳光,鲁莽,温柔,敏感,男性,18,本科,8
205,2020/10/30 16:48:48,450秒,手机提交,直接访问,218.197.142.6(湖北-武汉),马保国,7非常典型,李云龙,7非常典型,卢本伟,7非常典型,陈一发儿,7非常典型,泷泽萝拉,7非常典型,三上悠亚,7非常典型,追求女人,7非常典型,6比较积极,击剑,7非常典型,5有些积极,说骚话,6比较典型,6比较积极,撩头发,7非常典型,6比较积极,化妆,7非常典型,7非常积极,来拒去留,6比较典型,1非常消极,击剑,无,化妆,来拒去留,好色,7非常典型,7非常积极,表里不一,7非常典型,7非常积极,整抽象艺术,7非常典型,7非常积极,闷骚,7非常典型,7非常积极,公主心理,7非常典型,7非常积极,外娇里硬,7非常典型,7非常积极,搞抽象艺术,无,外娇里硬,公主心理,男性,18,本科,1
206,2020/10/30 16:48:57,575秒,手机提交,直接访问,223.104.20.112(湖北-武汉),张伟,6比较典型,西门吹雪,3有些不典型,胡歌,6比较典型,张然,4一般,陈丽,6比较典型,胡芳,4一般,打篮球,6比较典型,1非常消极,打游戏,7非常典型,4一般,踢足球,6比较典型,6比较积极,带孩子,6比较典型,6比较积极,疯狂购物,7非常典型,2比较消极,化妆,7非常典型,4一般,有风度,纹身,温柔,抽烟,大度,6比较典型,6比较积极,阳光,6比较典型,7非常积极,稳重,7非常典型,7非常积极,细腻,7非常典型,7非常积极,敏感,7非常典型,3有些消极,活泼,5有些典型,6比较积极,大度,小气,温柔,水性杨花,男性,18,本科,5
207,2020/10/30 16:49:01,557秒,手机提交,直接访问,218.197.142.8(湖北-武汉),某宇轩,6比较典型,某帅,6比较典型,某宏,3有些不典型,某某男,7非常典型,某佳怡,7非常典型,某欣怡,7非常典型,抽烟或者喝酒,7非常典型,2比较消极,骂人说脏话,6比较典型,1非常消极,泡妹子,5有些典型,6比较积极,梳头发,7非常典型,5有些积极,撅嘴,6比较典型,7非常积极,自拍,7非常典型,4一般,帮女生整理头发,抽烟喝酒,撅嘴,自拍,爱运动,6比较典型,7非常积极,对女朋友特别好,6比较典型,7非常积极,自带主角光环,3有些不典型,7非常积极,可爱有趣,5有些典型,5有些积极,活泼大方,6比较典型,4一般,善良,7非常典型,7非常积极,对女朋友特别好,自私自利,善良,过于大方，变成爷们,男性,18,本科,5
208,2020/10/30 16:49:08,470秒,手机提交,直接访问,218.197.142.13(湖北-武汉),张伟,7非常典型,苏大强,7非常典型,邓超,7非常典型,甜丝丝,7非常典型,林有有,7非常典型,林星辰,7非常典型,打架,7非常典型,3有些消极,打游戏,5有些典型,5有些积极,健身,5有些典型,7非常积极,化妆,5有些典型,5有些积极,购物,5有些典型,5有些积极,说悄悄话,5有些典型,5有些积极,打游戏,说脏话,说话有礼貌,故意嗲着说话,强壮,5有些典型,5有些积极,身高高,5有些典型,5有些积极,有责任心,5有些典型,5有些积极,温柔,5有些典型,5有些积极,文雅,5有些典型,5有些积极,有礼貌,5有些典型,5有些积极,有责任心,邋遢,温柔,自以为是,女性,18岁,本科,6
209,2020/10/30 16:49:08,587秒,手机提交,直接访问,117.136.81.139(湖北-武汉),空条承太郎,7非常典型,乔鲁诺•乔斯达,7非常典型,迪奥·布兰杜,7非常典型,友利奈绪,7非常典型,小鸟游六花,7非常典型,御坂美琴,7非常典型,JOJO立,7非常典型,7非常积极,乔家人一生一次的瞬移,7非常典型,7非常积极,盘贝西,7非常典型,7非常积极,0721,7非常典型,7非常积极,圆桌骑士,7非常典型,7非常积极,传播万华镜,7非常典型,7非常积极,JOJO立,反向JOJO立,JOJO立,JOJO立,腰部曲线弧度较小,7非常典型,7非常积极,肩宽大于臀宽,7非常典型,7非常积极,胸腔较厚,7非常典型,7非常积极,腰部曲线较有张力,7非常典型,7非常积极,锁骨向下一头距离开始收腰,7非常典型,7非常积极,臀宽大于肩宽,7非常典型,7非常积极,线条干练,线条杂乱,曲线优美,直上直下,男性,17,本科,5
210,2020/10/30 16:49:15,570秒,手机提交,直接访问,218.197.142.12(湖北-武汉),张伟,7非常典型,王强,7非常典型,李猛,7非常典型,刘英,7非常典型,王萌,7非常典型,李竞男,6比较典型,嘴欠儿,5有些典型,7非常积极,骂人,7非常典型,7非常积极,撩头发,5有些典型,6比较积极,喝奶茶,7非常典型,5有些积极,装嫩,7非常典型,5有些积极,逛,5有些典型,5有些积极,雷厉风行,磨磨唧唧,坐姿优雅,毒舌,讲义气,5有些典型,5有些积极,冲动,5有些典型,5有些积极,乐观,7非常典型,5有些积极,毒舌,6比较典型,6比较积极,勾心斗角,7非常典型,1非常消极,耍熊,5有些典型,1非常消极,顽皮,墨迹,知性,随性,男性,17,本科,6
211,2020/10/30 16:49:16,595秒,手机提交,直接访问,223.104.20.48(湖北-武汉),叶修,5有些典型,苏沐秋,3有些不典型,周泽楷,6比较典型,苏沐橙,6比较典型,陈果,5有些典型,唐柔,7非常典型,盖亚！！！,6比较典型,3有些消极,开挂,6比较典型,2比较消极,海王,7非常典型,4一般,化妆,7非常典型,6比较积极,追剧,5有些典型,4一般,聊天,3有些不典型,2比较消极,注意个人卫生,不注意卫生,单纯,绿茶,渣男,5有些典型,1非常消极,自恋,4一般,3有些消极,粗鲁,5有些典型,2比较消极,花痴,5有些典型,3有些消极,爱打扮,4一般,3有些消极,可爱,5有些典型,7非常积极,专一,渣男,可爱,绿茶,男性,16,本科,4
212,2020/10/30 16:49:34,600秒,手机提交,直接访问,218.197.142.6(湖北-武汉),王铁柱,7非常典型,郑好,3有些不典型,李刚,7非常典型,李芳,6比较典型,王菲,6比较典型,杨一菲,6比较典型,通宵打游戏,5有些典型,2比较消极,光膀子,5有些典型,3有些消极,健身,5有些典型,6比较积极,追星,5有些典型,4一般,化妆,7非常典型,6比较积极,包治百病,6比较典型,3有些消极,健身,光膀子,化妆,绿茶,帅,4一般,6比较积极,声音浑厚,5有些典型,4一般,暴躁,4一般,2比较消极,美,6比较典型,6比较积极,声音好听,4一般,6比较积极,矫情,4一般,2比较消极,帅,暴躁,美,矫情,男性,19,本科,7
213,2020/10/30 16:49:35,615秒,手机提交,直接访问,171.82.161.38(湖北-武汉),王二蛋,7非常典型,王二狗,6比较典型,王大毛,6比较典型,王二妞,7非常典型,张爱玲,6比较典型,张然,5有些典型,抽烟,6比较典型,3有些消极,蹦迪,6比较典型,4一般,打球,6比较典型,7非常积极,化妆,7非常典型,1非常消极,买买买,6比较典型,1非常消极,爱说姨妈话,6比较典型,4一般,打球,脚踏两只船,爱和男生聊天,化浓妆,胡渣,6比较典型,3有些消极,短发,6比较典型,5有些积极,穿搭随意,5有些典型,4一般,头发长,6比较典型,6比较积极,比较腼腆,6比较典型,3有些消极,穿衣华丽,6比较典型,6比较积极,短发,胡渣,穿着华丽,不注重外表,男性,18,本科,0
214,2020/10/30 16:49:42,597秒,手机提交,直接访问,218.197.142.13(湖北-武汉),王一,7非常典型,张三,7非常典型,孙建国,7非常典型,宋丹丹,7非常典型,于丹,7非常典型,赵小花,7非常典型,csgo,7非常典型,4一般,LOL,7非常典型,4一般,王者荣耀,7非常典型,4一般,化妆,7非常典型,6比较积极,喝奶茶,7非常典型,6比较积极,看剧,7非常典型,6比较积极,打篮球,打架,化妆,吸烟,勇敢,7非常典型,7非常积极,胆大,7非常典型,6比较积极,阳光,7非常典型,7非常积极,温柔,7非常典型,7非常积极,腼腆,7非常典型,6比较积极,活泼,7非常典型,4一般,勇敢,懦弱,温柔,泼辣,男性,19,本科,6
215,2020/10/30 16:49:44,420秒,手机提交,直接访问,218.197.142.14(湖北-武汉),周天杨,4一般,马鑫源,4一般,刘东林,4一般,刘亦菲,1非常不典型,杨幂,1非常不典型,唐嫣,1非常不典型,打游戏,7非常典型,7非常积极,撩妹,7非常典型,6比较积极,装逼,7非常典型,5有些积极,撩头发,5有些典型,7非常积极,追星,5有些典型,5有些积极,无理取闹,4一般,2比较消极,有礼貌,不爱卫生,善解人意,无理取闹,哎装逼,5有些典型,5有些积极,有些幼稚,5有些典型,5有些积极,大男子主义,5有些典型,3有些消极,温柔,5有些典型,7非常积极,不讲道理,5有些典型,2比较消极,双标,5有些典型,3有些消极,有礼貌,没礼貌,温柔,粗鲁,男性,20,本科,1
216,2020/10/30 16:49:49,586秒,手机提交,直接访问,218.197.142.4(湖北-武汉),韩憨憨,7非常典型,李华,4一般,张然,5有些典型,马冬梅,5有些典型,林有有,7非常典型,李梅,7非常典型,刷我的卡,7非常典型,5有些积极,上号,7非常典型,5有些积极,渣男,7非常典型,4一般,卖萌,5有些典型,5有些积极,撒娇,4一般,4一般,买买买,4一般,4一般,一起上号,渣男,卖萌,茶里茶气,活泼,6比较典型,6比较积极,渣男,4一般,3有些消极,主动,5有些典型,4一般,羞涩,5有些典型,5有些积极,爱美,7非常典型,7非常积极,多感,7非常典型,7非常积极,活泼乐观,小气，易怒,可爱，好看,拜金，虚伪,男性,19,本科,6
217,2020/10/30 16:49:57,584秒,手机提交,直接访问,218.197.142.18(湖北-武汉),张铁柱,7非常典型,刘大牛,7非常典型,唐三,4一般,刘亦菲,6比较典型,杨颖,4一般,朱铠璐,2比较不典型,组队开黑,6比较典型,5有些积极,打架斗殴,7非常典型,1非常消极,独自伤心,5有些典型,4一般,组队上厕所,7非常典型,3有些消极,聊八卦,6比较典型,4一般,化妆,6比较典型,6比较积极,组队打球,组队打王者荣耀,撒娇卖萌,无理取闹,踏实,6比较典型,7非常积极,质朴,6比较典型,5有些积极,不善言辞,5有些典型,4一般,缺乏安全感,6比较典型,4一般,温柔,5有些典型,6比较积极,易妥协,5有些典型,4一般,踏实,朴实,温柔,脾气大,男性,19,本科,5
218,2020/10/30 16:49:58,483秒,手机提交,直接访问,223.104.20.12(湖北-武汉),邓天驹,7非常典型,李向丰,6比较典型,姚骁龙,7非常典型,辜欣乐,4一般,陈丽茹,6比较典型,侯雅馨,7非常典型,俯卧撑,7非常典型,7非常积极,打篮球,7非常典型,7非常积极,沉迷自我，无法自拔,7非常典型,4一般,吃,7非常典型,4一般,化妆,7非常典型,6比较积极,追剧,7非常典型,4一般,学习,窥屏,兴趣广泛,撒娇,兄弟义气,7非常典型,7非常积极,阳光向上,6比较典型,7非常积极,坚强,6比较典型,7非常积极,爱美,7非常典型,6比较积极,墨迹,4一般,3有些消极,爱自拍,6比较典型,4一般,帅,不洗衣服,漂亮,阴毒,男性,19,本科,3
219,2020/10/30 16:50:00,579秒,手机提交,直接访问,218.197.142.7(湖北-武汉),张伟,7非常典型,王建国,6比较典型,李华,7非常典型,谢诗涵,6比较典型,张丽,7非常典型,彭雨涵,6比较典型,打游戏,7非常典型,7非常积极,吹牛,7非常典型,3有些消极,请客吃饭,7非常典型,6比较积极,追星,7非常典型,6比较积极,剪头,6比较典型,5有些积极,哭鼻子,6比较典型,4一般,打游戏,吹牛,追星,追星,闷骚,7非常典型,3有些消极,乐观,5有些典型,6比较积极,理性,6比较典型,6比较积极,感性,7非常典型,6比较积极,外柔内刚,6比较典型,7非常积极,优雅,6比较典型,6比较积极,理性,闷骚,外柔内刚,感性,男性,18,本科,3
220,2020/10/30 16:50:13,563秒,手机提交,直接访问,183.95.248.190(湖北-武汉),张伟,7非常典型,王铁锤,7非常典型,卢本伟,7非常典型,翠花,7非常典型,王新,3有些不典型,王子怡,7非常典型,女装,4一般,1非常消极,向前一小步，文明一大步,7非常典型,7非常积极,击剑,5有些典型,1非常消极,编织,4一般,6比较积极,绣花,4一般,4一般,追剧,4一般,4一般,罚球线扣篮,野球场造规,爱干净,找备胎,理智,4一般,4一般,坚强,4一般,4一般,自信,2比较不典型,4一般,爱干净,4一般,4一般,花痴,1非常不典型,1非常消极,熬夜打游戏,1非常不典型,1非常消极,理智,自大,理智,、,男性,18,本科,6
221,2020/10/30 16:50:16,655秒,手机提交,直接访问,218.197.142.16(湖北-武汉),张伟,6比较典型,李文,4一般,李浩文,4一般,李思怡,6比较典型,李佳琪,6比较典型,李敏,6比较典型,强大的自信,6比较典型,7非常积极,投篮动作,6比较典型,6比较积极,耍帅,6比较典型,6比较积极,一起上厕所,6比较典型,7非常积极,撩头发,7非常典型,7非常积极,照镜子,7非常典型,7非常积极,投篮动作,耍帅,撩头发,翘腿,莫名自信,7非常典型,7非常积极,爱玩,5有些典型,3有些消极,冷静,6比较典型,7非常积极,爱美,7非常典型,7非常积极,敏感,7非常典型,3有些消极,记仇,7非常典型,3有些消极,冷静,莫名自信,乐观,敏感,女性,17,本科,6
222,2020/10/30 16:50:22,663秒,手机提交,直接访问,119.103.27.231(湖北-武汉),李刚,6比较典型,张明明,6比较典型,潘浩然,5有些典型,杨芳,6比较典型,李然,6比较典型,钟洁,4一般,多喝热水,7非常典型,3有些消极,打游戏,6比较典型,4一般,喜欢买鞋,6比较典型,4一般,注重仪表,6比较典型,5有些积极,怕蟑螂,6比较典型,4一般,喜欢小动物,5有些典型,6比较积极,勇于担当,满身汗味,细心,斤斤计较,心思不够细腻 常常考虑欠妥,5有些典型,2比较消极,自以为是 盲目自大,3有些不典型,1非常消极,勇于担当,6比较典型,7非常积极,优柔寡断,5有些典型,2比较消极,心思细腻,5有些典型,6比较积极,喜欢小动物,6比较典型,6比较积极,勇于担当,满身汗味,心思细腻,斤斤计较,女性,18,本科,5
223,2020/10/30 16:50:23,598秒,手机提交,直接访问,218.197.142.8(湖北-武汉),张帅,7非常典型,张伟,7非常典型,赵启轩,7非常典型,张雨馨,7非常典型,张雨文,7非常典型,王嘉怡,7非常典型,运动,7非常典型,7非常积极,直男,5有些典型,4一般,出头,6比较典型,5有些积极,害羞胆小,6比较典型,3有些消极,逛街,7非常典型,4一般,购物,7非常典型,4一般,上进积极阳光善良,欺软怕硬,温柔体贴有爱心,尖酸刻薄嫉妒心机重,勇敢,5有些典型,5有些积极,秃头,7非常典型,1非常消极,懒惰,3有些不典型,1非常消极,懒惰,4一般,1非常消极,爱美,7非常典型,6比较积极,胆小,4一般,3有些消极,积极勇敢理智,欺软怕硬,善良,意气用事,男性,18,本科,5
224,2020/10/30 16:50:25,612秒,手机提交,直接访问,218.197.142.16(湖北-武汉),巴力恒,7非常典型,刘洋,6比较典型,刘亦菲,6比较典型,加依娜,5有些典型,德拉热啊,5有些典型,阿依提古丽,7非常典型,踢球,5有些典型,7非常积极,开黑,6比较典型,4一般,撩妹,7非常典型,6比较积极,看帅哥,7非常典型,4一般,一起上厕所,7非常典型,7非常积极,八卦,7非常典型,1非常消极,开朗,高冷,撒娇,不撒娇,耍帅,6比较典型,6比较积极,高个,4一般,1非常消极,高冷,4一般,3有些消极,高傲,5有些典型,3有些消极,温柔,5有些典型,5有些积极,好看,4一般,5有些积极,帅,矮,高个,太矮,男性,20,本科,6
225,2020/10/30 16:50:33,580秒,手机提交,直接访问,223.104.20.108(湖北-武汉),李浩,6比较典型,李超,4一般,李浩然,4一般,陈丽茹,4一般,永丽,5有些典型,苗苗,4一般,耍帅,4一般,4一般,玩游戏,5有些典型,3有些消极,跑步,5有些典型,6比较积极,整理衣服,5有些典型,5有些积极,化妆,4一般,4一般,照镜子,4一般,4一般,跑步,玩游戏,整理衣服,化妆,负责人,3有些不典型,7非常积极,保护别人,3有些不典型,6比较积极,花心,4一般,2比较消极,爱吃零食,4一般,3有些消极,刷剧,4一般,2比较消极,聊天话唠,6比较典型,3有些消极,责任心,花心,爱吃零食,聊天,女性,18,本科,6
226,2020/10/30 16:50:42,675秒,手机提交,直接访问,119.103.0.115(湖北-武汉),张伟,7非常典型,王铁锤,7非常典型,张政,7非常典型,翠芬,7非常典型,雅馨,6比较典型,丽茹,6比较典型,上网吧,6比较典型,1非常消极,耍帅,5有些典型,4一般,打电脑,4一般,4一般,撒娇,5有些典型,5有些积极,化妆,6比较典型,6比较积极,撩头发,6比较典型,6比较积极,运动,耍帅,化妆,喷香水,帅,6比较典型,6比较积极,高,4一般,6比较积极,头发短,6比较典型,6比较积极,头发长,6比较典型,6比较积极,矮,4一般,4一般,爱笑,4一般,4一般,帅,矮,美,无理取闹,男性,18,本科,10
227,2020/10/30 16:50:51,548秒,手机提交,直接访问,223.104.20.231(湖北-武汉),张伟,7非常典型,李伟,6比较典型,王志,6比较典型,张然,5有些典型,宋芳,6比较典型,李欣,4一般,打游戏,6比较典型,4一般,喝酒,6比较典型,4一般,熬夜,5有些典型,2比较消极,购物,7非常典型,7非常积极,化妆,7非常典型,5有些积极,聊八卦,6比较典型,4一般,见义勇为,装逼,轻声细语,撒泼,勇敢,6比较典型,7非常积极,粗心,5有些典型,3有些消极,豪爽,6比较典型,6比较积极,细心,6比较典型,6比较积极,温柔,5有些典型,6比较积极,开朗,4一般,6比较积极,勇敢,胆小,温柔,绿茶,男性,18,本科,3
228,2020/10/30 16:51:21,721秒,手机提交,直接访问,223.104.20.224(湖北-武汉),张伟,7非常典型,刘建业,6比较典型,王建国,6比较典型,刘洋,7非常典型,张舒涵,6比较典型,张越,6比较典型,跳投,6比较典型,6比较积极,战斗,7非常典型,7非常积极,喝茶,7非常典型,7非常积极,来姨妈,7非常典型,7非常积极,化妆,7非常典型,4一般,购物,7非常典型,4一般,微笑,脏乱,微笑撩发,脏乱,坦率,7非常典型,7非常积极,暴力,5有些典型,4一般,血气方刚,7非常典型,7非常积极,温柔大方,6比较典型,7非常积极,可爱娇嫩,6比较典型,6比较积极,拧人,7非常典型,2比较消极,大度,斤斤计较,温文尔雅,蛮不讲理,男性,18,本科,2
229,2020/10/30 16:51:30,710秒,手机提交,直接访问,218.197.142.7(湖北-武汉),张伟,6比较典型,张帅,5有些典型,李华,7非常典型,王晶,5有些典型,郑爽,6比较典型,王美丽,4一般,不洗澡,6比较典型,7非常积极,不刮胡子,7非常典型,1非常消极,懒,6比较典型,2比较消极,臭美,7非常典型,3有些消极,撒娇,5有些典型,5有些积极,生气,6比较典型,5有些积极,露肌肉,大吵大闹,文静,偷东西,跟风,5有些典型,4一般,能干,3有些不典型,5有些积极,善良,5有些典型,5有些积极,温柔,1非常不典型,7非常积极,做家务,5有些典型,5有些积极,爱吃,5有些典型,5有些积极,能干,文弱,文静,臭美,男性,17,高中/中专/技校,5
230,2020/10/30 16:51:35,735秒,手机提交,直接访问,223.104.20.195(湖北-武汉),李明,6比较典型,王刚,7非常典型,李汶聪,1非常不典型,韩晨笑,7非常典型,张然,1非常不典型,李汶聪,1非常不典型,打机,7非常典型,4一般,运动,6比较典型,7非常积极,喝酒撸串,7非常典型,4一般,逛街,7非常典型,1非常消极,化妆,7非常典型,6比较积极,刷剧,6比较典型,4一般,打球,装逼,自拍,装傻,自负,6比较典型,2比较消极,怂,4一般,2比较消极,乐观,6比较典型,7非常积极,自卑,6比较典型,2比较消极,温柔,6比较典型,7非常积极,卖弄,4一般,1非常消极,乐观,懦弱,善解人意,只顾自己,男性,19,本科,7
231,2020/10/30 16:51:44,701秒,手机提交,直接访问,223.104.20.83(湖北-武汉),张伟,5有些典型,王天宇,7非常典型,曾波,6比较典型,吴慧萱,7非常典型,李冰冰,7非常典型,张然,7非常典型,撸猫,6比较典型,7非常积极,打游戏,7非常典型,5有些积极,弹钢琴,7非常典型,7非常积极,养鱼,7非常典型,4一般,看书,5有些典型,7非常积极,做饭,7非常典型,7非常积极,弹钢琴,渣,读书,说脏话,内涵,7非常典型,7非常积极,不屈不饶,7非常典型,7非常积极,行动力强,7非常典型,7非常积极,温柔,7非常典型,7非常积极,细心,7非常典型,7非常积极,天真,7非常典型,3有些消极,阳光,钻牛角尖,细心,粗心,男性,19,本科,8
232,2020/10/30 16:51:44,739秒,手机提交,直接访问,218.197.142.6(湖北-武汉),李辉,7非常典型,张伟,7非常典型,曾祺,3有些不典型,张然,3有些不典型,吴雅芳,7非常典型,金一一,6比较典型,游戏,7非常典型,7非常积极,动漫,7非常典型,7非常积极,看美女,7非常典型,7非常积极,看帅哥,7非常典型,7非常积极,逛街,7非常典型,7非常积极,化妆,5有些典型,6比较积极,请客,让我请客,请客,让我请客,装逼,5有些典型,6比较积极,直,6比较典型,5有些积极,粗犷,4一般,4一般,心思细腻,4一般,4一般,爱干净,4一般,3有些消极,温柔,1非常不典型,1非常消极,请客,不请客,温柔,无理取闹,男性,17,本科,4
233,2020/10/30 16:51:45,659秒,手机提交,直接访问,218.197.142.20(湖北-武汉),王刚,7非常典型,赵伟,7非常典型,王凯,7非常典型,刘云,7非常典型,张婷,7非常典型,刘薇,7非常典型,打篮球,6比较典型,7非常积极,抽烟,6比较典型,1非常消极,打游戏,6比较典型,4一般,化妆,6比较典型,5有些积极,做饭,6比较典型,5有些积极,穿漂亮裙子,4一般,4一般,打篮球,暴力,做事温柔,公主病,粗心大意,4一般,4一般,不拘小节,5有些典型,5有些积极,自信,3有些不典型,7非常积极,敏感,4一般,3有些消极,细心,5有些典型,5有些积极,内敛,2比较不典型,4一般,开朗大方,自负,温柔细心,不讲道理多疑,女性,17,本科,5
234,2020/10/30 16:51:46,434秒,手机提交,直接访问,117.136.52.225(湖北-武汉),建国,1非常不典型,宇轩,7非常典型,志平,7非常典型,倪妮,6比较典型,雅婷,7非常典型,霓裳,7非常典型,抠脚,7非常典型,3有些消极,跷二郎腿,7非常典型,4一般,打游戏,7非常典型,4一般,化妆,7非常典型,1非常消极,逛街,7非常典型,1非常消极,换衣服,7非常典型,1非常消极,甩头发,抠脚,化妆,逛街,帅,4一般,7非常积极,爱打游戏,7非常典型,7非常积极,陪女朋友,6比较典型,7非常积极,陪男朋友,6比较典型,7非常积极,爱化妆,7非常典型,4一般,爱气男朋友,7非常典型,1非常消极,陪女朋友,爱打游戏,陪男朋友,化妆,男性,18,本科,6
235,2020/10/30 16:51:49,520秒,手机提交,直接访问,117.136.81.145(湖北-武汉),张正义,5有些典型,刘国强,5有些典型,李伟大,5有些典型,张美丽,7非常典型,李漂亮,5有些典型,吴好看,7非常典型,抽烟喝酒,7非常典型,1非常消极,抠脚,7非常典型,1非常消极,装酷耍帅,7非常典型,1非常消极,披头发,7非常典型,7非常积极,化妆,7非常典型,4一般,装淑女,7非常典型,1非常消极,乐于助人,嫖娼赌博,安静,过于开放,正义,5有些典型,7非常积极,有责任感,7非常典型,7非常积极,勇敢,7非常典型,7非常积极,可爱,7非常典型,7非常积极,漂亮,7非常典型,7非常积极,细心,7非常典型,7非常积极,正义,要强,细心,臭美,男性,18,本科,8
236,2020/10/30 16:51:52,711秒,手机提交,直接访问,171.82.112.123(湖北-武汉),张伟,7非常典型,张全蛋,7非常典型,刘二狗,7非常典型,李静,7非常典型,艾尔莉雅,7非常典型,妞妞,7非常典型,抠脚,7非常典型,4一般,抽烟,6比较典型,4一般,站着尿尿,7非常典型,7非常积极,蹲着尿尿,7非常典型,7非常积极,撩头发,7非常典型,4一般,叽叽喳喳,7非常典型,1非常消极,单手开法拉利,单手开法拉利,微笑,哈哈大笑,邋遢,7非常典型,1非常消极,粗心大意,7非常典型,2比较消极,好色,7非常典型,1非常消极,腼腆,7非常典型,4一般,肤浅,3有些不典型,1非常消极,讲究卫生,7非常典型,7非常积极,高富帅,斤斤计较,好看,斤斤计较,男性,18,本科,3
237,2020/10/30 16:51:54,659秒,手机提交,直接访问,218.197.142.9(湖北-武汉),张大炮,7非常典型,李三,7非常典型,赵二,7非常典型,张婷,7非常典型,李丽,7非常典型,王冰冰,5有些典型,网吧通宵,7非常典型,2比较消极,撩妹,7非常典型,6比较积极,击剑,7非常典型,7非常积极,追星,7非常典型,2比较消极,疯狂购物,5有些典型,4一般,八卦,7非常典型,3有些消极,击剑,撩妹,爱整洁,nc追星,倔强,6比较典型,6比较积极,自信,6比较典型,5有些积极,舔狗,7非常典型,1非常消极,感性,5有些典型,4一般,细致,6比较典型,7非常积极,冷静,6比较典型,6比较积极,倔强,傲慢,细致,啰嗦,男性,19,本科,5
238,2020/10/30 16:51:58,729秒,手机提交,直接访问,119.103.190.73(湖北-武汉),刘洋,7非常典型,聂乔翘楚同,1非常不典型,牛慕樵,1非常不典型,徐一丹,6比较典型,张思盈,3有些不典型,刘心怡,7非常典型,走路时做投篮姿势,7非常典型,7非常积极,和同性摸摸亲亲,6比较典型,7非常积极,遇到叶子要跳起来打,6比较典型,7非常积极,逛街,7非常典型,7非常积极,心思捉摸不定,6比较典型,4一般,嘤嘤嘤,6比较典型,7非常积极,会自动带耳机,公共地方抖腿,安安静静,逛街,自信,6比较典型,7非常积极,沙雕,7非常典型,6比较积极,迷糊,5有些典型,4一般,温温柔柔,2比较不典型,7非常积极,安安静静,2比较不典型,7非常积极,骂人,5有些典型,4一般,沙雕,自以为是,温温柔柔,口出狂言,男性,18,本科,2
